iter	Passed	Remaining
0	0	92
1	1	93
2	2	92
3	3	85
4	4	83
5	5	83
6	6	82
7	7	81
8	8	81
9	9	81
10	10	82
11	11	81
12	12	80
13	13	80
14	13	78
15	14	77
16	15	76
17	16	75
18	17	73
19	18	72
20	19	71
21	19	70
22	20	69
23	21	68
24	22	67
25	23	66
26	24	66
27	25	66
28	26	64
29	27	63
30	28	62
31	29	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	34	55
38	35	54
39	35	53
40	36	52
41	37	51
42	38	50
43	38	49
44	40	49
45	41	48
46	42	47
47	42	46
48	43	45
49	44	44
50	45	43
51	46	42
52	46	41
53	47	40
54	48	39
55	49	38
56	49	37
57	50	36
58	51	35
59	52	34
60	53	34
61	54	33
62	55	32
63	56	31
64	57	30
65	58	30
66	59	29
67	59	28
68	60	27
69	61	26
70	62	25
71	63	24
72	63	23
73	64	22
74	65	21
75	66	20
76	67	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	73	14
83	73	14
84	74	13
85	75	12
86	76	11
87	77	10
88	77	9
89	78	8
90	79	7
91	80	6
92	81	6
93	81	5
94	82	4
95	83	3
96	84	2
97	85	1
98	86	0
99	87	0
